,seed,epoch,perf,loss,elbo,score matching,elbo_lr,sm_lr
0,1,1,0.6041386964602866,-21330.34347908038,-21335.48528714413,5.14180806375815,0.005,0.005
0,1,2,0.7367953082485895,-31600.974122982723,-31602.655692133652,1.6815691509282238,0.005,0.005
0,1,3,0.7356657314851015,-78896.4763266597,-78895.54641892438,-0.9299077353230419,0.005,0.005
0,1,4,0.7436772245215133,-126233.03784061129,-126231.8822597901,-1.1555808212303988,0.005,0.005
0,1,5,0.7472791823862984,-180223.73415300407,-180222.6485317575,-1.0856212465887607,0.005,0.005
0,1,6,0.7591329132505745,-228274.2718444677,-228273.35075203658,-0.9210924310535411,0.005,0.005
0,1,7,0.7536656533956659,-268012.78617857123,-268011.452862784,-1.333315787245291,0.005,0.005
0,1,8,0.7697031373376259,-309032.0889981507,-309030.4619704081,-1.6270277427265587,0.005,0.005
0,1,9,0.7739727758348437,-355422.34384647483,-355421.0156652598,-1.328181215054353,0.005,0.005
0,1,10,0.777797004811496,-403165.47467465245,-403163.8496008713,-1.6250737814654321,0.005,0.005
0,1,11,0.7804527762521046,-451614.511751616,-451612.9424146179,-1.5693369982795697,0.005,0.005
0,1,12,0.7792339944903083,-501922.0802114619,-501920.47287930426,-1.6073321575517425,0.005,0.005
0,1,13,0.7852911815610847,-555714.2826535975,-555712.5097419024,-1.7729116948825705,0.005,0.005
0,1,14,0.7833356169181411,-607931.1088973137,-607930.2254743754,-0.8834229380031748,0.005,0.005
0,1,15,0.7869847171496771,-660224.5188970737,-660222.713292763,-1.805604310506307,0.005,0.005
0,1,16,0.78843213596695,-712576.7273349268,-712575.3350509944,-1.392283932690807,0.005,0.005
0,1,17,0.7916269625379503,-760237.7648698867,-760236.1878101319,-1.5770597545161364,0.005,0.005
0,1,18,0.7900456157298824,-809120.1427905947,-809118.4729137182,-1.6698768768797638,0.005,0.005
0,1,19,0.7941074122299601,-861863.9468745125,-861861.8760866165,-2.070787895898139,0.005,0.005
0,1,20,0.7938347110263838,-919694.0450444409,-919692.2608504941,-1.7841939470045562,0.005,0.005
0,1,21,0.7939898518719116,-970941.135402997,-970939.3431854311,-1.7922175666274185,0.005,0.005
0,1,22,0.7949917055542439,-1032040.5749482622,-1032038.4622192974,-2.1127289643856058,0.005,0.005
0,1,23,0.7962979190078121,-1092096.0538435155,-1092095.1827460744,-0.8710974417180937,0.005,0.005
0,1,24,0.7964288978224024,-1137800.66731662,-1137799.8923708673,-0.7749457528827821,0.005,0.005
0,1,25,0.7971121313574396,-1182643.8333211066,-1182641.5709382303,-2.262382875911208,0.005,0.005
0,1,26,0.7962508385669733,-1234272.3959077562,-1234270.7421980158,-1.6537097400371903,0.005,0.005
0,1,27,0.7960478287298429,-1279793.6362464272,-1279791.5225044726,-2.113741954274517,0.005,0.005
0,1,28,0.7961502765493034,-1335245.5136692382,-1335243.7074668221,-1.806202416372754,0.005,0.005
0,1,29,0.796107004284525,-1379967.1420377963,-1379964.9926230821,-2.1494147144192,0.005,0.005
0,1,30,0.7965719718387687,-1434927.762686019,-1434925.6358639307,-2.1268220884574625,0.005,0.005
0,1,31,0.7976911029111858,-1495602.8748833546,-1495600.9501170132,-1.9247663411760982,0.005,0.005
0,1,32,0.7970548353968987,-1543189.5359981197,-1543187.5850469826,-1.9509511379355429,0.005,0.005
0,1,33,0.7975934902123651,-1603574.0477720262,-1603572.07344523,-1.9743267952370835,0.005,0.005
0,1,34,0.7974287084087641,-1650991.45672843,-1650990.4105205631,-1.046207865886958,0.005,0.005
0,1,35,0.7969220422798621,-1696248.4070420284,-1696246.8194336405,-1.5876083883623378,0.005,0.005
0,1,36,0.7979517553707056,-1741404.7017418935,-1741402.7316599968,-1.9700818964766056,0.005,0.005
0,1,37,0.798497255176834,-1796888.8363513232,-1796886.7344339967,-2.1019173264759967,0.005,0.005
0,1,38,0.7981183503312683,-1848331.3834914702,-1848329.1895723895,-2.1939190800275026,0.005,0.005
0,1,39,0.7968991395923521,-1899815.5264414717,-1899813.4538189464,-2.072622526302652,0.005,0.005
0,1,40,0.7989304667384184,-1965055.213086188,-1965052.9508579304,-2.2622282579404853,0.005,0.005
0,1,41,0.7990101072619832,-2014768.1485149437,-2014767.0791787454,-1.069336198228745,0.005,0.005
0,1,42,0.7970154058701905,-2069111.421562848,-2069109.4741374755,-1.9474253704752884,0.005,0.005
0,1,43,0.7996913737133122,-2117612.7248323373,-2117610.597743103,-2.12708923426627,0.005,0.005
0,1,44,0.7984710025226055,-2171754.9914033227,-2171752.6554294243,-2.3359738982240645,0.005,0.005
0,1,45,0.7975249081240822,-2225794.4756094073,-2225792.004588954,-2.471020452224612,0.005,0.005
0,1,46,0.7974014825032323,-2274328.106082358,-2274326.7110477304,-1.3950346290498952,0.005,0.005
0,1,47,0.7977688997412583,-2330982.567663817,-2330980.4924292406,-2.0752345772539305,0.005,0.005
0,1,48,0.7989706010559009,-2397002.0197259574,-2396999.872844859,-2.146881099078166,0.005,0.005
0,1,49,0.7991601577317129,-2454275.5333703537,-2454273.422340011,-2.1110303439427374,0.005,0.005
0,1,50,0.7974209203039068,-2509301.240506846,-2509298.741311794,-2.4991950506483587,0.005,0.005
0,1,51,0.7996252578763786,-2573412.8304592026,-2573410.9499231707,-1.880536031389454,0.005,0.005
0,1,52,0.798981546455414,-2630118.8871953133,-2630117.461387244,-1.4258080695055526,0.005,0.005
0,1,53,0.7973603168368909,-2661391.4890050935,-2661392.5256332965,1.0366282018398967,0.005,0.005
0,1,54,0.7983789238386857,-2710140.27505915,-2710137.7165918685,-2.5584672811428555,0.005,0.005
0,1,55,0.7992839748984191,-2763775.216853445,-2763773.107302028,-2.1095514161992837,0.005,0.005
0,1,56,0.7981224353143005,-2826216.3113287496,-2826213.7603066135,-2.551022137352973,0.005,0.005
